,PV,catogery,name,price,region,second_feature,size,third_feature,title
0,15,1室0厅,兴达华府,1600,西乡租房,高楼层(共29层),17平米,2009年建塔楼,西乡兴达华府大单间  诚心出租
1,10,1室0厅,海乐花园,1800,西乡租房,中楼层(共4层),18平米,1995年建板塔结合,西乡地铁口海乐花园 大单间小区安静居住舒适购物方便
2,1,1室0厅,泰华苑,1500,翻身租房,低楼层(共8层),91平米,1998年建板塔结合,泰华苑 1室0厅 1500元
3,16,1室0厅,风尚时代,1900,新安租房,中楼层(共7层),33平米,2004年建塔楼,风尚时代 1室0厅 1900元
4,5,1室0厅,新安湖花园,1600,新安租房,低楼层(共7层),25平米,1993年建板塔结合,新安湖花园 1室0厅 1600元
5,0,7室2厅,桃源峰景园,1800,桃源居租房,高楼层(共18层),84平米,2011年建板塔结合,桃源峰景园 7室2厅 1800元
6,0,4室2厅,宏发世纪城二期,1500,石岩租房,中楼层(共30层),87平米,2016年建板塔结合,宏发世纪城二期 4室2厅 1500元
7,0,1室0厅,新安园,1400,翻身租房,高楼层(共7层),15平米,2000年建板塔结合,新安园 1室0厅 1400元
8,0,4室1厅,世外桃源九区,1790,桃源居租房,低楼层(共10层),14平米,2004年建板塔结合,世外桃源九区4居室 05卧
9,0,3室1厅,世外桃源九区,1530,桃源居租房,低楼层(共11层),8平米,2004年建板塔结合,世外桃源九区3居室 02卧
10,0,4室1厅,世外桃源九区,1790,桃源居租房,低楼层(共10层),19平米,2004年建板塔结合,世外桃源九区4居室 01卧
11,0,5室1厅,槟城西岸,1690,西乡租房,中楼层(共30层),11平米,2008年建板楼,槟城西岸5居室 02卧
12,0,4室1厅,槟城西岸,1790,西乡租房,高楼层(共33层),11平米,2008年建板楼,槟城西岸4居室 01卧
13,0,4室1厅,菁英趣庭,1760,宝安中心租房,低楼层(共18层),7平米,2006年建板塔结合,菁英趣庭4居室 03卧
14,0,5室1厅,槟城西岸,1690,西乡租房,低楼层(共30层),14平米,2008年建板楼,槟城西岸5居室 06卧
15,0,4室1厅,理想居,1430,翻身租房,低楼层(共31层),6平米,2002年建板塔结合,理想居4居室 02卧
16,0,4室1厅,理想居,1760,翻身租房,低楼层(共31层),7平米,2002年建板塔结合,理想居4居室 03卧
17,0,3室2厅,新安湖花园,1500,新安租房,中楼层(共33层),74平米,1993年建板塔结合,新安湖花园电梯2房改3房，只出租一个次卧，只出租女士
18,0,4室1厅,风临洲,1930,宝安中心租房,高楼层(共26层),8平米,2006年建板塔结合,风临洲4居室 02卧
19,0,4室1厅,风临洲,1830,宝安中心租房,高楼层(共26层),7平米,2006年建板塔结合,风临洲4居室 03卧
20,0,4室1厅,新安湖花园,1860,新安租房,中楼层(共9层),10平米,1993年建板塔结合,新安湖花园4居室 05卧
21,0,5室1厅,中信湾上六座,1860,西乡租房,高楼层(共32层),11平米,2009年建板塔结合,中信湾上六座5居室 06卧
22,0,3室1厅,世外桃源九区,1760,桃源居租房,低楼层(共11层),13平米,2004年建板塔结合,世外桃源九区3居室 01卧
23,0,3室1厅,世外桃源九区,1830,桃源居租房,低楼层(共11层),10平米,2004年建板塔结合,世外桃源九区3居室 03卧
24,0,6室1厅,洪福雅苑,1690,翻身租房,高楼层(共14层),6平米,2001年建板塔结合,洪福雅苑6居室 05卧
25,0,6室1厅,洪福雅苑,1930,翻身租房,高楼层(共14层),11平米,2001年建板塔结合,洪福雅苑6居室 07卧
26,0,5室1厅,槟城西岸,1590,西乡租房,低楼层(共30层),11平米,2008年建板楼,槟城西岸5居室 02卧
27,0,4室1厅,灵芝新村,1590,新安租房,高楼层(共7层),12平米,1985年建板楼,灵芝新村4居室 01卧
28,0,4室1厅,新锦安雅园,1560,翻身租房,中楼层(共14层),8平米,2000年建板塔结合,新锦安雅园4居室 03卧
29,0,4室1厅,世外桃源九区,1530,桃源居租房,低楼层(共10层),9平米,2004年建板塔结合,世外桃源九区4居室 02卧
0,25,1室0厅,兴达华府,2350,西乡租房,中楼层(共29层),21平米,2009年建塔楼,兴达华府在租精美小户型 装修好 配套齐
1,7,1室0厅,兴达华府,2100,西乡租房,中楼层(共29层),17平米,2009年建塔楼,宝安西乡航空新城一号一房可配置
2,0,2室1厅,雅乐居,2800,西乡租房,低楼层(共15层),41平米,2007年建板塔结合,雅乐居 2室1厅 2800元
3,8,1室1厅,恒丰工业城,2300,曦城租房,中楼层(共8层),41平米,2001年建板塔结合,恒丰工业城 1室1厅 2300元
4,13,1室1厅,桃源居三区,2900,桃源居租房,中楼层(共9层),57平米,2003年建塔楼,桃源居三区 1室1厅 2900元
5,2,1室0厅,新鹏苑,2500,新安租房,高楼层(共11层),24平米,2000年建板塔结合,新鹏苑 1室0厅 2500元
6,0,3室1厅,33区商住楼宝安区,2000,新安租房,高楼层(共8层),84平米,1995年建板塔结合,33区商住楼宝安区 3室1厅 2000元
7,1,1室1厅,恒丰工业城,2600,曦城租房,中楼层(共8层),41平米,板楼,恒丰工业城 1室1厅 2600元
8,12,2室1厅,33区商住楼宝安区,2800,新安租房,中楼层(共8层),104平米,板塔结合,33区新装两房，家私家电齐全，拎包入住！
9,1,1室1厅,兴达华府,2500,西乡租房,低楼层(共29层),32平米,2009年建塔楼,家私家电齐全，拎包入住，房子使用率很高
10,2,2室1厅,兴达华府,2900,西乡租房,高楼层(共29层),42平米,2009年建塔楼,宝安固戍 航空新城舒适1+1房 拎包入住
11,0,1室0厅,宝田雅苑,2700,西乡租房,中楼层(共17层),31平米,2010年建塔楼,宝田雅苑 1室0厅 2700元
12,3,1室1厅,桃源居三区,2800,桃源居租房,中楼层(共9层),57平米,2003年建塔楼,桃源居三区 1室1厅 2800元
13,12,1室0厅,深业沙河U中心,2200,曦城租房,低楼层(共23层),42平米,板塔结合,深业沙河U中心 1室0厅 2200元
14,0,1室1厅,金港华庭,2300,西乡租房,中楼层(共31层),87平米,2008年建板塔结合,三房两厅两卫，次卧出租，三房只住两个人。
15,26,1室1厅,雅仕阁,2600,新安租房,中楼层(共12层),42平米,1999年建板塔结合,新安前进天虹商场附近雅仕阁一房一厅出租
16,2,1室1厅,绿海名居,2000,西乡租房,低楼层(共15层),75平米,2007年建板塔结合,安静小区 大两房  找有趣的人朋友合租
17,3,3室2厅,碧海富通城三期,2300,西乡租房,中楼层(共26层),55平米,2007年建塔楼,精装合租带独卫一房 家私电器齐全 可看海景
18,0,1室1厅,恒丰工业城,2800,曦城租房,中楼层(共8层),41平米,板楼,恒丰工业城 1室1厅 2800元
19,9,1室2厅,兴达华府,2600,西乡租房,中楼层(共29层),31平米,塔楼,西乡固戍万象新天桃源居领翔华府兴达华府一房
20,0,5室1厅,熙龙湾一期,2760,宝安中心租房,低楼层(共32层),14平米,2008年建塔楼,熙龙湾一期5居室 06卧
21,0,1室1厅,前海铂寓,2600,西乡租房,高楼层(共15层),45平米,板塔结合,前海铂寓 1室1厅 2600元
22,0,4室1厅,西城雅筑,2090,宝安中心租房,高楼层(共31层),10平米,2012年建板塔结合,西城雅筑4居室 01卧
23,0,5室1厅,熙龙湾一期,2260,宝安中心租房,低楼层(共32层),11平米,2008年建塔楼,熙龙湾一期5居室 05卧
24,0,3室1厅,润恒尚园,2000,西乡租房,中楼层(共29层),82平米,2014年建板塔结合,次卧出租 看碧海公园 可欣赏高尔夫
25,0,5室1厅,深业新岸线二期,2490,宝安中心租房,低楼层(共27层),15平米,2006年建塔楼,深业新岸线二期5居室 06卧
26,0,4室1厅,泰华君逸世家,2230,宝安中心租房,中楼层(共29层),8平米,2006年建板塔结合,泰华君逸世家4居室 05卧
27,0,5室1厅,西岸观邸,2460,宝安中心租房,低楼层(共28层),13平米,2006年建板塔结合,西岸观邸5居室 06卧
28,0,4室1厅,海滨城广场,2090,翻身租房,中楼层(共11层),15平米,2003年建板塔结合,海滨城广场4居室 05卧
29,0,4室1厅,新锦安雅园,2160,翻身租房,中楼层(共14层),15平米,2000年建板塔结合,新锦安雅园4居室 05卧
0,39,2室2厅,卡罗社区,4200,翻身租房,低楼层(共16层),55平米,2007年建板塔结合,卡罗社区 2室2厅 4200元
1,46,2室1厅,卡罗社区,4800,翻身租房,低楼层(共16层),53平米,2007年建板塔结合,卡罗社区 2室1厅 4800元
2,31,1室1厅,卡罗社区,4500,翻身租房,高楼层(共16层),53平米,2007年建板塔结合,卡罗社区 1室1厅 4500元
3,27,1室1厅,中信领航,3200,西乡租房,中楼层(共13层),37平米,2012年建板塔结合,中信领航 1室1厅 3200元
4,36,2室1厅,石鸿花园,4200,翻身租房,中楼层(共30层),78平米,1998年建板塔结合,石鸿花园 2室1厅 4200元
5,53,2室2厅,桃源居十三区,4000,桃源居租房,低楼层(共7层),82平米,2003年建板塔结合,桃源居十三区 2室2厅 4000元
6,36,3室1厅,桃源居十二区,4300,桃源居租房,中楼层(共8层),86平米,1998年建塔楼,桃源居十二区 3室1厅 4300元
7,31,2室1厅,桃源居十四区,4400,桃源居租房,中楼层(共17层),84平米,2004年建塔楼,桃源居十四区 2室1厅 4400元
8,7,1室1厅,财富港大厦,3500,西乡租房,中楼层(共34层),62平米,2010年建板楼,财富港大厦 1室1厅 3500元
9,19,3室2厅,兴达华府,4600,西乡租房,中楼层(共29层),126平米,2009年建塔楼,西乡兴达华府精装修大3房 业主诚心出租
10,13,2室2厅,桃源居十三区,3800,桃源居租房,中楼层(共7层),88平米,2003年建板塔结合,桃源居十三区 2室2厅 3800元
11,10,2室1厅,鸿隆广场,3600,西乡租房,中楼层(共31层),48平米,2005年建塔楼,鸿隆广场 2室1厅 3600元
12,3,2室2厅,兴达华府,4100,西乡租房,高楼层(共29层),68平米,2009年建塔楼,兴达华府 2室2厅 4100元
13,8,2室1厅,华盛盛荟,4600,新安租房,高楼层(共32层),56平米,2013年建塔楼,新安华盛盛荟 弘雅片区新楼盘，家私电新配，车位充足
14,7,2室1厅,玉湖湾,4300,西乡租房,中楼层(共10层),44平米,2010年建板塔结合,玉湖湾居家两房，距碧海湾站一千米左右
15,15,3室1厅,桃源居十四区,4000,桃源居租房,低楼层(共7层),110平米,2004年建塔楼,桃源居十四区简单装修大三房业主诚信出租看房方便
16,23,3室2厅,桃源居十四区,4100,桃源居租房,高楼层(共7层),113平米,2004年建塔楼,桃源居十四区 3室2厅 4100元
17,8,1室1厅,广兴源圣拿威,4000,西乡租房,高楼层(共31层),35平米,2012年建板塔结合,广兴源圣拿威 1室1厅 4000元
18,3,1室1厅,中信领航,3000,西乡租房,中楼层(共13层),37平米,2012年建板塔结合,中信领航 1室1厅 3000元
19,3,2室1厅,兴华花园,3000,西乡租房,高楼层(共8层),86平米,1995年建板塔结合,地铁房 随时入住  客厅出阳台  正规两房
20,8,1室1厅,黄金大厦,3700,新安租房,中楼层(共32层),47平米,2012年建塔楼,黄金大厦 1室1厅 3700元
21,10,2室1厅,白金假日公寓,4000,西乡租房,中楼层(共28层),40平米,2007年建塔楼,地铁口白金假日公寓两房 中间楼层 随时可看
22,9,1室1厅,花样年花郡,4100,宝安中心租房,中楼层(共20层),36平米,2010年建板塔结合,花样年花郡 1室1厅 4100元
23,15,4室1厅,桃源峰景园,4500,桃源居租房,低楼层(共18层),84平米,2011年建板塔结合,桃源峰景园 4室1厅 4500元
24,12,3室2厅,兴华花园,3600,西乡租房,高楼层(共8层),92平米,1995年建板塔结合,业主精心装修   配套齐全   直接拎包入住
25,3,2室1厅,桃源居四区,3200,桃源居租房,低楼层(共6层),49平米,2004年建板楼,桃源居四区 2室1厅 3200元
26,0,3室2厅,俊景园,4000,西乡租房,中楼层(共23层),98平米,2012年建板塔结合,俊景园 3室2厅 4000元
27,1,2室1厅,桃源居十四区,3400,桃源居租房,中楼层(共8层),57平米,2004年建板楼,桃源居十四区 2室1厅 3400元
28,17,2室2厅,前海铂寓,3800,西乡租房,中楼层(共18层),55平米,2016年建板塔结合,前海铂寓 2室2厅 3800元
29,5,2室1厅,桃源居十二区,3500,桃源居租房,低楼层(共8层),75平米,1996年建塔楼,桃源居十二区 2室1厅 3500元
0,19,2室1厅,风临洲,5300,宝安中心租房,高楼层(共26层),76平米,2006年建板塔结合,双地铁口 正规大两房 风临洲 享壹方城大型购物商城
1,20,3室1厅,桃源盛景园十六区,7800,桃源居租房,中楼层(共20层),161平米,2007年建板楼,大四房，整体空间舒缓，大阳台，通风性好
2,22,3室1厅,西城雅筑,6390,宝安中心租房,低楼层(共31层),70平米,2012年建板塔结合,西城雅筑 3室1厅 6390元
3,12,4室2厅,领翔华府,5000,西乡租房,低楼层(共31层),88平米,2015年建板塔结合,领翔华府 东南朝向  正规三房  家电齐全  随时入住
4,11,2室1厅,佳华名苑,5600,宝安中心租房,中楼层(共18层),61平米,2012年建板塔结合,佳华名苑 2室1厅 5600元
5,13,3室1厅,桃源居十四区,5000,桃源居租房,中楼层(共7层),121平米,2004年建塔楼,桃源居十四区 3室1厅 5000元
6,2,3室2厅,招商果岭花园,5500,西乡租房,低楼层(共30层),87平米,2012年建平房,招商果岭花园 3室2厅 5500元
7,4,4室1厅,桃源居十二区,6000,桃源居租房,中楼层(共9层),136平米,1998年建塔楼,桃源居十二区 4室1厅 6000元
8,8,2室2厅,香缤广场,5000,新安租房,中楼层(共31层),71平米,2006年建板塔结合,香缤广场 2室2厅 5000元
9,0,4室2厅,金海华府,6200,西乡租房,低楼层(共31层),88平米,2008年建板塔结合,金海华府 4室2厅 6200元
10,10,4室1厅,登科花园,5300,翻身租房,中楼层(共8层),105平米,2001年建板楼,家住宝体隔壁 双地铁口 南山上班方便 精装修 拎包入住
11,7,3室2厅,世外桃源十区,5000,桃源居租房,中楼层(共18层),114平米,2004年建板塔结合,桃源居十区大三房简单装修看房方便
12,2,3室1厅,福中福花园一期,5000,西乡租房,中楼层(共7层),99平米,2001年建板楼,福中福花园一期 3室1厅 5000元
13,24,3室1厅,桃源盛景园十七区,5200,桃源居租房,中楼层(共18层),105平米,2007年建板塔结合,桃源盛景园十七区 3室1厅 5200元
14,24,2室1厅,新锦安雅园,5500,翻身租房,中楼层(共16层),72平米,2005年建板塔结合,新锦安雅园 2室1厅 5500元
15,16,2室2厅,香缤广场,5000,新安租房,低楼层(共31层),66平米,2006年建板塔结合,交通便利 拎包入住 随时看房 生活便利
16,10,2室1厅,松茂御龙湾,5800,西乡租房,中楼层(共31层),75平米,2016年建板塔结合,刚装修好的新房  美观漂亮  空房出租
17,5,3室1厅,绿海名居,5700,西乡租房,低楼层(共23层),93平米,2007年建板塔结合,绿海名居 3室1厅 5700元
18,2,4室2厅,桃源盛景园十七区,6500,桃源居租房,高楼层(共18层),111平米,2007年建板塔结合,桃源居观景一手好房。家私家电齐全，看房方便。
19,3,4室2厅,招商果岭花园,7200,西乡租房,中楼层(共30层),123平米,2013年建板塔结合,招商局物业，贴心服务，安静舒适，初次放租，拎包入住
20,9,3室1厅,绿海名居,5500,西乡租房,低楼层(共16层),97平米,2007年建板塔结合,绿海名居 3室1厅 5500元
21,16,3室2厅,大益广场,5000,西乡租房,低楼层(共16层),108平米,2002年建板塔结合,大益广场 3室2厅 5000元
22,8,3室2厅,御龙居,6500,西乡租房,低楼层(共17层),138平米,2004年建板塔结合,御龙居 3室2厅 6500元
23,2,3室1厅,碧海富通城一期,5500,西乡租房,低楼层(共18层),104平米,2007年建板楼,碧海富通城一期 3室1厅 5500元
24,3,3室2厅,玉湖湾,5000,西乡租房,低楼层(共10层),75平米,2011年建板塔结合,玉湖湾 3室2厅 5000元
25,3,4室1厅,招商果岭花园,7000,西乡租房,中楼层(共30层),124平米,2012年建板塔结合,招商果岭花园 4室1厅 7000元
26,4,3室1厅,滨海春城,6500,翻身租房,高楼层(共30层),117平米,2005年建塔楼,滨海春城 3室1厅 6500元
27,14,3室2厅,桃源盛景园十七区,5500,桃源居租房,中楼层(共18层),110平米,2007年建板塔结合,桃源盛景园十七区 3室2厅 5500元
28,3,3室2厅,玉湖湾,6200,西乡租房,高楼层(共30层),86平米,2010年建板塔结合,高楼层采光好视野开阔通风透气海景房
29,3,2室1厅,合正汇一城,5800,西乡租房,中楼层(共31层),74平米,2011年建板塔结合,合正汇一城 2室1厅 5800元
0,0,4室1厅,金泓凯旋城一期,10000,宝安中心租房,中楼层(共26层),162平米,2006年建板塔结合,金泓凯旋城一期 4室1厅 10000元
1,11,4室2厅,幸福海岸二期,12000,宝安中心租房,高楼层(共32层),155平米,2005年建塔楼,宝体优质四房 精装修 拎包入住 南北通透 看房方便
2,5,5室1厅,深业新岸线一期,12000,宝安中心租房,中楼层(共25层),152平米,2005年建塔楼,深业大五房，南向看海无遮挡，采光通风vrey good。
3,9,4室2厅,熙龙湾一期,11000,宝安中心租房,低楼层(共32层),144平米,2008年建塔楼,熙龙湾一期 精装修 近新安地铁
4,9,3室2厅,世外桃源一区,10000,桃源居租房,中楼层(共7层),154平米,2004年建板塔结合,世外桃源一区 3室2厅 10000元
5,2,6室2厅,中熙香缇湾,12000,西乡租房,高楼层(共30层),161平米,2009年建板塔结合,中熙香缇湾 6室2厅 12000元
6,1,6室2厅,幸福海岸二期,17000,宝安中心租房,低楼层(共29层),180平米,2005年建塔楼,幸福海岸 精装6房 使用率高 南北通透 采光好 随时看房
7,8,4室1厅,幸福海岸三期,13000,宝安中心租房,低楼层(共32层),149平米,2005年建板塔结合,宝安中 心宝体地铁口 幸福海岸四房 户型方正 精装修
8,0,4室2厅,第五大道高发西岸花园三期,16000,宝安中心租房,高楼层(共26层),162平米,2010年建板塔结合,第五大道高发西岸花园三期 4室2厅 16000元
9,9,4室2厅,幸福海岸二期,20000,宝安中心租房,高楼层(共32层),155平米,2005年建塔楼,宝体地铁口 幸福海岸四房   干净整洁 保养好
10,4,4室2厅,幸福海岸二期,13000,宝安中心租房,中楼层(共29层),163平米,2005年建塔楼,宝安中 心 宝体 幸福海岸五房 户型方正 精装修 南北
11,2,5室2厅,深业新岸线三期,21000,宝安中心租房,低楼层(共11层),243平米,2008年建塔楼,深业新岸线三期 5室2厅 21000元
12,4,3室1厅,第五大道高发西岸花园三期,10000,宝安中心租房,中楼层(共24层),125平米,2011年建板塔结合,第五大道高发西岸花园三期 3室1厅 10000元
13,1,4室2厅,宏发领域,23000,宝安中心租房,高楼层(共23层),225平米,2007年建板塔结合,宏发领域 4室2厅 23000元
14,1,4室2厅,宝雅花园,12000,新安租房,高楼层(共9层),186平米,1998年建板塔结合,邻宝安中xue精装修电梯房，顶层复式，通风采光都很好.
15,1,4室2厅,碧海富通城一期,15000,西乡租房,低楼层(共9层),130平米,2007年建板楼,碧海富通城一期 4室2厅 15000元
16,0,5室1厅,幸福海岸二期,18000,宝安中心租房,低楼层(共32层),187平米,2005年建塔楼,宝安区  幸福海岸五房 干净整洁保养好  拎包入住
17,0,4室1厅,泰华阳光海小区,12000,西乡租房,中楼层(共4层),129平米,2008年建板塔结合,泰华阳光海小区 4室1厅 12000元
18,0,4室2厅,天健时尚空间,21000,宝安中心租房,高楼层(共26层),270平米,2007年建板塔结合,壹方城旁 精装270平大复式  全新装修 适合办公
19,13,3室1厅,招商华侨城曦城山顶道酒店公寓,16000,曦城租房,中楼层(共7层),122平米,2014年建塔楼,曦城酒店公寓居家实用三房 全新家私 双阳台 拎包入住
20,3,4室2厅,泰华君逸世家,12000,宝安中心租房,低楼层(共29层),186平米,2007年建板塔结合,泰华君逸世家 4室2厅 12000元
21,0,4室2厅,熙龙湾一期,19000,宝安中心租房,高楼层(共32层),142平米,2008年建塔楼,熙龙湾一期 4室2厅 19000元
22,2,5室2厅,深业新岸线一期,15000,宝安中心租房,高楼层(共4层),168平米,2005年建板楼,深业新岸线一期 5室2厅 15000元
23,6,6室2厅,招商华侨城曦城一二期,60000,曦城租房,低楼层(共1层),288平米,2007年建,曦城一期联排端头别墅 安静精装花园大 娱乐功能齐备
24,11,4室1厅,幸福海岸二期,17000,宝安中心租房,高楼层(共29层),154平米,2005年建塔楼,宝安中 心 幸福海岸四房 户型方正 精装修 南北通
25,2,4室2厅,招商华侨城曦城山顶道酒店公寓,18000,曦城租房,中楼层(共7层),133平米,2014年建塔楼,招商华侨城曦城山顶道酒店公寓 4室2厅 18000元
26,21,1室2厅,中粮锦云,30000,西乡租房,低楼层(共30层),184平米,2012年建板塔结合,中粮锦云 1室2厅 30000元
27,0,6室3厅,世外桃源七区,10000,桃源居租房,高楼层(共10层),197平米,2004年建板塔结合,世外桃源七区 6室3厅 10000元
28,0,4室1厅,幸福海岸三期,11000,宝安中心租房,中楼层(共32层),158平米,2005年建板塔结合,宝体站南北通 幸福海岸 精装修 凡尔赛宫风格 户型方正
29,6,4室2厅,幸福海岸三期,10000,宝安中心租房,高楼层(共32层),145平米,2005年建板塔结合,宝安中  心宝体地铁口 幸福海岸 精装修  朝南
0,39,2室2厅,卡罗社区,4200,翻身租房,低楼层(共16层),55平米,2007年建板塔结合,卡罗社区 2室2厅 4200元
1,46,2室1厅,卡罗社区,4800,翻身租房,低楼层(共16层),53平米,2007年建板塔结合,卡罗社区 2室1厅 4800元
2,31,1室1厅,卡罗社区,4500,翻身租房,高楼层(共16层),53平米,2007年建板塔结合,卡罗社区 1室1厅 4500元
3,27,1室1厅,中信领航,3200,西乡租房,中楼层(共13层),37平米,2012年建板塔结合,中信领航 1室1厅 3200元
4,53,2室2厅,桃源居十三区,4000,桃源居租房,低楼层(共7层),82平米,2003年建板塔结合,桃源居十三区 2室2厅 4000元
5,36,2室1厅,石鸿花园,4200,翻身租房,中楼层(共30层),78平米,1998年建板塔结合,石鸿花园 2室1厅 4200元
6,36,3室1厅,桃源居十二区,4300,桃源居租房,中楼层(共8层),86平米,1998年建塔楼,桃源居十二区 3室1厅 4300元
7,31,2室1厅,桃源居十四区,4400,桃源居租房,中楼层(共17层),84平米,2004年建塔楼,桃源居十四区 2室1厅 4400元
8,7,1室1厅,财富港大厦,3500,西乡租房,中楼层(共34层),62平米,2010年建板楼,财富港大厦 1室1厅 3500元
9,13,3室1厅,幸福海岸二期,8000,宝安中心租房,低楼层(共21层),108平米,2005年建塔楼,幸福海岸二期 3室1厅 8000元
10,19,2室1厅,风临洲,5300,宝安中心租房,高楼层(共26层),76平米,2006年建板塔结合,双地铁口 正规大两房 风临洲 享壹方城大型购物商城
11,22,3室1厅,西城雅筑,6390,宝安中心租房,低楼层(共31层),70平米,2012年建板塔结合,西城雅筑 3室1厅 6390元
12,20,3室1厅,桃源盛景园十六区,7800,桃源居租房,中楼层(共20层),161平米,2007年建板楼,大四房，整体空间舒缓，大阳台，通风性好
13,19,3室2厅,兴达华府,4600,西乡租房,中楼层(共29层),126平米,2009年建塔楼,西乡兴达华府精装修大3房 业主诚心出租
14,10,2室1厅,鸿隆广场,3600,西乡租房,中楼层(共31层),48平米,2005年建塔楼,鸿隆广场 2室1厅 3600元
15,13,2室2厅,桃源居十三区,3800,桃源居租房,中楼层(共7层),88平米,2003年建板塔结合,桃源居十三区 2室2厅 3800元
16,12,4室2厅,领翔华府,5000,西乡租房,低楼层(共31层),88平米,2015年建板塔结合,领翔华府 东南朝向  正规三房  家电齐全  随时入住
17,11,2室1厅,佳华名苑,5600,宝安中心租房,中楼层(共18层),61平米,2012年建板塔结合,佳华名苑 2室1厅 5600元
18,13,3室1厅,桃源居十四区,5000,桃源居租房,中楼层(共7层),121平米,2004年建塔楼,桃源居十四区 3室1厅 5000元
19,0,4室1厅,金泓凯旋城一期,10000,宝安中心租房,中楼层(共26层),162平米,2006年建板塔结合,金泓凯旋城一期 4室1厅 10000元
20,3,2室2厅,兴达华府,4100,西乡租房,高楼层(共29层),68平米,2009年建塔楼,兴达华府 2室2厅 4100元
21,2,3室2厅,招商果岭花园,5500,西乡租房,低楼层(共30层),87平米,2012年建平房,招商果岭花园 3室2厅 5500元
22,1,4室2厅,天悦龙庭一期,9000,宝安中心租房,高楼层(共28层),134平米,2005年建塔楼,天悦龙庭一期 4室2厅 9000元
23,4,4室1厅,桃源居十二区,6000,桃源居租房,中楼层(共9层),136平米,1998年建塔楼,桃源居十二区 4室1厅 6000元
24,25,1室0厅,兴达华府,2350,西乡租房,中楼层(共29层),21平米,2009年建塔楼,兴达华府在租精美小户型 装修好 配套齐
25,8,2室1厅,华盛盛荟,4600,新安租房,高楼层(共32层),56平米,2013年建塔楼,新安华盛盛荟 弘雅片区新楼盘，家私电新配，车位充足
26,7,2室1厅,玉湖湾,4300,西乡租房,中楼层(共10层),44平米,2010年建板塔结合,玉湖湾居家两房，距碧海湾站一千米左右
27,8,2室2厅,香缤广场,5000,新安租房,中楼层(共31层),71平米,2006年建板塔结合,香缤广场 2室2厅 5000元
28,7,1室0厅,兴达华府,2100,西乡租房,中楼层(共29层),17平米,2009年建塔楼,宝安西乡航空新城一号一房可配置
29,15,3室1厅,桃源居十四区,4000,桃源居租房,低楼层(共7层),110平米,2004年建塔楼,桃源居十四区简单装修大三房业主诚信出租看房方便
